Sentence,Emotion,Cleaned_Sentence
per người đừng hành hạ tuôi như thế nào nữa,Sadness,per người đừng hành_hạ tuôi như thế_nào nữa
lạc quan lên cưng ❤,Enjoyment,lạc_quan lên cưng
cách xử lý của cô chủ nhiệm quá tồi .,Disgust,cách xử_lý của cô chủ_nhiệm quá tồi
bọn chủ tịch đến chưa chúng mày ?,Other,bọn chủ_tịch đến chưa chúng_mày
giống tao nhưng tay trái tao có thẹo do mẹ tao xưa cắt trúng nên nhìn thẹo để phân biệt thôi chứ kêu phải ứng liền là không được,Other,giống tao nhưng tay_trái tao có thẹo do mẹ tao xưa cắt trúng nên nhìn thẹo để phân_biệt thôi chứ kêu phải ứng liền là không được
vào sg 50k / không cũng mua . 100k / không cũng mua ! ha ha,Enjoyment,vào sg 50k không cũng mua 100k không cũng mua ha_ha
nó lại hợp lí vãi,Enjoyment,nó lại hợp_lí vãi
"quỳ vậy thôi có gì mà phạt giáo viên nhỉ , riết phụ huynh giờ thấy làm quá đáng thiệt",Disgust,quỳ vậy thôi có gì mà phạt giáo_viên nhỉ riết phụ_huynh giờ thấy làm quá_đáng thiệt
lớp tao tỉnh rụi . đi học chứ có phải đi chết đéo đâu mà khóc lóc :),Disgust,lớp tao tỉnh rụi đi học chứ có phải đi chết đéo đâu mà khóc_lóc icon_vui
ngày xưa mỗi lần tao làm ồn là ngoại tao liền la hoặc lấy roi đánh 😅 nhưng lúc đó vui lắm 😊,Enjoyment,ngày_xưa mỗi lần tao làm ồn là ngoại tao liền la hoặc lấy roi đánh icon_vui nhưng lúc đó vui lắm icon_vui
"em cũng đi lead này , nhưng đừng gọi em là ninja được không , xin luôn đấy",Sadness,em cũng đi lead này nhưng đừng gọi em là ninja được không xin luôn đấy
tự nhiên nhớ cái cảnh 2 con bánh bèo bị ngỗng dí quá 😅😅 per,Enjoyment,tự_nhiên nhớ cái cảnh 2 con bánh_bèo bị ngỗng dí quá icon_vui icon_vui per
thề nhìn họ hôn nhau thôi mà nổi hết gai ốc . chưa dám nghĩ tới xxx . chắc thốn lắm . lạnh sống lưng thật .,Fear,thề nhìn họ hôn nhau thôi mà nổi hết gai_ốc chưa dám nghĩ tới x chắc thốn lắm lạnh sống_lưng thật
dù s đi nữa thì mày vẫn xinh . cố lên,Enjoyment,dù_sao đi_nữa thì mày vẫn xinh cố lên
sài gòn vẫn có cách sống rất nhân văn .,Enjoyment,sài_gòn vẫn có cách sống rất nhân_văn
đi ngoài đường trái phải còn không biết mà vẫn sống thì giỏi đấy nhỉ,Disgust,đi_ngoài đường trái phải còn không biết mà vẫn sống thì giỏi đấy nhỉ
thật vi diệu,Enjoyment,thật vi diệu
nuôi sao mà trông béo tốt thế kia :v chỉ bí quyết đi,Other,nuôi sao mà trông béo_tốt thế kia v chỉ bí_quyết đi
agribank thì bình quân bao nhiêu nhỉ . mấy cán bộ agri thấy hách lắm .,Disgust,agribank thì bình_quân bao_nhiêu nhỉ mấy cán_bộ agri thấy hách lắm
ly hôn kiểu này thì không cần tới bước cuối cùng . chỉ cần tới bước tính xem trả lại tiền mừng là tao bỏ ngay ý định ly hôn luôn rồi ... kkkk,Enjoyment,ly_hôn kiểu này thì không cần tới bước cuối_cùng chỉ cần tới bước tính xem trả lại tiền mừng là tao bỏ ngay ý_định ly_hôn luôn rồi k
"nhìn mặt đã thấy hãm , mọi người chửi bỏ mẹ con mẹ phụ huynh đi",Anger,nhìn mặt đã thấy hãm mọi người chửi bỏ_mẹ con_mẹ phụ_huynh đi
mày không được ăn đồ chua nhưng phòng toàn xoài chua :(,Sadness,mày không được ăn đồ chua nhưng phòng toàn xoài chua icon_buon
per bày đặt ngày hôm qua đã từng đồ,Disgust,per bày_đặt ngày hôm_qua đã từng đồ
sau khi bố xem video của con xong thì bố rút ra 1 điều . bố không chỉ chửi con lúc con cầm đũa mà bố sẽ chửi con cả ngày thân ái ... yêu con,Enjoyment,sau khi bố xem video của con xong thì bố rút ra 1 điều bố không chỉ chửi con lúc con cầm đũa mà bố sẽ chửi con_cả ngày thân_ái yêu con
có đứa nào hồi bé không biết nấu còn tranh làm rồi quên không đổ nước như tao không :))),Sadness,có đứa nào hồi bé không biết nấu còn tranh làm rồi quên không đổ nước như tao không icon_vui
đỉnh của đỉnh 🙂,Enjoyment,đỉnh của đỉnh icon_vui
các bác cứ tích cực vào . em chả quan tâm,Other,các bác cứ tích_cực vào em chả quan_tâm
ở việt nam mà vác dao rạch tại chỗ thể này người nhà nó chả đấm cho sưng mõm rồi 🌝,Disgust,ở việt_nam mà vác dao rạch tại_chỗ thể này người_nhà nó chả đấm cho sưng mõm rồi
"trung thu là ngày cho trẻ em chứ đéo phải ngày tạo ra trẻ em nhé . dume bọn có gấu tém tém lại , kiểm tra xem có thêm cái sừng nào không ?",Anger,trung_thu là ngày cho trẻ_em chứ đéo phải ngày tạo ra trẻ_em nhé dume bọn có gấu tém tém lại kiểm_tra xem có thêm cái sừng nào không
per tao nghĩ nên triệt sản mày,Other,per tao nghĩ nên triệt_sản mày
"rẻ nhỉ , sao có thể giảm tới mức đó vậy ta",Surprise,rẻ nhỉ sao có_thể giảm tới mức đó vậy_ta
"có rồi mà , nghén rồi nè hihi",Enjoyment,có rồi mà nghén rồi nè hihi
qtrong là mày phải có tiền chứ nghèo xem,Other,qtrong là mày phải có tiền chứ nghèo xem
anh đừng bỏ em đi mà 😢,Sadness,anh đừng bỏ em đi mà icon_buon
người ghép có tâm 😁😁,Enjoyment,người ghép có tâm icon_vui icon_vui
per hôm nào chụp kiểu nhỉ .,Other,per hôm nào chụp kiểu nhỉ
"per bất hạnh vãi , mà tao với mày đéo tạo được niềm vui :v",Sadness,per bất_hạnh vãi mà tao với mày đéo tạo được niềm vui v
gu âm nhạc óc chó mới nghr cái bài này . toàn đú theo mấy cái thể loại hãm,Disgust,gu âm_nhạc óc chó mới nghr cái bài này toàn đú theo mấy cái thể_loại hãm
mỗi năm cũng xem lại đôi lần,Other,mỗi năm cũng xem_lại đôi lần
per cảm ơn mọi người . do em thích mấy cái văn hoá tưng vùng để tìm hiểu,Enjoyment,per cảm_ơn mọi người do em thích mấy cái văn_hoá tưng vùng để tìm_hiểu
hu hu đã bị chụp,Sadness,hu_hu đã bị chụp
con này bán kem bôi não ... xóa bỏ nếp nhăn .. khiến não láng mịn 😌😌😌😌,Disgust,con này bán kem bôi não xóa_bỏ nếp nhăn khiến não láng mịn
ngu không chịu được,Disgust,ngu không chịu được
per hồi ở tam kì hay nghe ... giờ nghe lại buồn ds,Sadness,per hồi ở tam_kì hay nghe giờ nghe lại buồn ds
bạn gái nào xinh xinh mà bị lạc thì vào nhà mình cho ngủ nhờ này . ??,Enjoyment,bạn gái nào xinh_xinh mà bị lạc thì vào nhà mình cho ngủ nhờ này
huhu sợ vãi luôn á,Fear,huhu sợ vãi luôn á
hỏng rồi . dùng đồ như phá,Disgust,hỏng rồi dùng đồ như phá
"chỉ có bạo lực mới giải quyết được bạo lực , tao mà làm luật tao sẽ hạ tuổi người lớn là 13 tuổi , đem nó lao động khổ sai 10 năn",Anger,chỉ có bạo_lực mới giải_quyết được bạo_lực tao mà làm_luật tao sẽ hạ tuổi người_lớn là 13 tuổi đem nó lao_động khổ sai 10 năn
tao nhiều tài lắm .. nhưng tài sản còn cái mạng què và đôi tay trắng 😭😭,Sadness,tao nhiều tài lắm nhưng tài_sản còn cái mạng què và đôi tay_trắng icon_buon icon_buon
có ai bịt loa như tao không 😁,Other,có ai bịt loa như tao không icon_vui
"mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé , đừng chen đẩy kiểu bố láo , thằng đẩy tao đã bị xơi cùi trỏ rồi đấy ,",Other,mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé đừng chen đẩy kiểu bố_láo thằng đẩy tao đã bị xơi cùi trỏ rồi đấy
nhìn là thấy nóng rồi,Other,nhìn là thấy nóng rồi
"làm con người còn sức khoẻ , còn lành lặn mà vác mặt vào ăn cơm từ thiện thì chết con mẹ nó đi cho đỡ chật đất , cơm này dành cho những người không còn khả năng lao động , hoặc vô gia cư và hoàn cảnh quá khó khăn thôi",Anger,làm con_người còn sức_khoẻ còn lành_lặn mà vác_mặt vào ăn cơm từ_thiện thì chết con_mẹ nó đi cho đỡ chật đất cơm này dành cho những người không còn khả_năng lao_động hoặc vô gia cư và hoàn_cảnh quá khó_khăn thôi
tự hỏi rằng những bạn nữ như thế nào thì họ có còn thích con trai không nhỉ 🤔,Other,tự hỏi rằng những bạn nữ như thế_nào thì họ có còn thích con_trai không nhỉ
cặp phụ lúc nào cũng đáng yêu .,Enjoyment,cặp phụ lúc_nào cũng đáng yêu
pháp không còn khoảng thời gian bình yên nữa rồi,Sadness,pháp không còn khoảng thời_gian bình_yên nữa rồi
con ước mình cũng có 1 tình yêu đẹp như ông bà vậy < 3,Enjoyment,con ước mình cũng có 1 tình_yêu đẹp như ông_bà vậy 3
cô giáo là người nhà của mấy đứa đầu gấu à =))))),Surprise,cô_giáo là người_nhà của mấy đứa đầu_gấu à
"tôi cũng thấy điêu điêu , nét chữ này của người lớn mà . chí ít cũng phải cấp 3 rồi .",Disgust,tôi cũng thấy điêu điêu nét chữ này của người_lớn mà chí_ít cũng phải cấp 3 rồi
phải con tao tao cho cả lũ chó cụt tay hết !,Anger,phải con tao tao cho cả lũ chó cụt tay hết
cưng chết,Enjoyment,cưng chết
con gái hiện giờ .. nấu kiểu này thì thôi xong ... cháy luôn cả nhà 😂,Other,con_gái hiện_giờ nấu kiểu này thì thôi xong cháy luôn cả nhà icon_vui
"per đường đi về anh ợ , ô tô chắn hết đg chả đi được ??",Other,per đường đi về anh ợ ô_tô chắn hết đg chả đi được
ghê vậy,Disgust,ghê_vậy
nếu không có khúc cua cuối thì video này ý nghĩa đó chớ 🤣🤣,Enjoyment,nếu không có khúc cua cuối thì video này ý_nghĩa đó chớ icon_vui icon_vui
dễ thương . cứ yêu đi ngại gì .,Enjoyment,dễ_thương cứ yêu đi ngại gì
hay lắm :))),Enjoyment,hay lắm icon_vui
dume con ế đọc tổn thương sâu con mẹ nó sắc :((,Sadness,dume con ế đọc tổn_thương sâu con_mẹ nó sắc icon_buon
chắc ông này không có vợ :)),Disgust,chắc ông này không có vợ icon_vui
coi phim này không .. dễ thương lắm ..,Enjoyment,coi phim này không dễ_thương lắm
đúng vậy . haha,Enjoyment,đúng vậy haha
tại sao cứ đa số là trèo cột điện với mái nhà nhỉ . ai giải thích mình với ??,Other,tại_sao cứ đa_số là trèo cột điện với mái nhà nhỉ ai giải_thích mình với
lâu lắm rồi mà gio mới xử phạt,Anger,lâu lắm rồi mà gio mới xử_phạt
đáng yêu quá,Enjoyment,đáng yêu quá
tuần sau nữa mới học =))),Enjoyment,tuần sau nữa mới học
"per sợ chưa , ông bác hơi bị cứng nhé :))))",Enjoyment,per sợ chưa ông bác hơi bị cứng nhé icon_vui
"phàm là việc đại sự trong thiên hạ , cứ về hỏi vợ . vợ bảo sao thì làm ngược lại . ắt thành công !!!",Other,phàm là việc đại sự trong thiên_hạ cứ về hỏi_vợ vợ bảo sao thì làm ngược_lại ắt thành_công
bọn hại người không gươm không dao . bọn tiêu diệt nguồn lực tương lai của dân tộc . nên đưa tội thực phẩm bẩn vào khung tử hình đi . mong nhà nước thay đổi một số luật định đi .,Anger,bọn hại người không gươm không dao bọn tiêu_diệt nguồn_lực tương_lai của dân_tộc nên đưa tội thực_phẩm bẩn vào khung tử_hình đi mong nhà_nước thay_đổi một_số luật_định đi
per bữa nào làm thử mày,Other,per bữa nào làm thử mày
cần 1 thời gian dài thật dài nữa thì ý thức mới đi lên được,Other,cần 1 thời_gian dài thật dài nữa thì ý_thức mới đi lên được
"trên đường tao đi làm cũng có 2 con , mỗi lần chay tới là nó vương cổ ra như kiểu muốn hút tao trong khi tao không làm gì nó , cứ mỗi lần chạy tới là tao cách ly cả "" nghìn mét "" với nó , thấy nó sợ bỏ mẹ . đúng chất con ngang",Fear,trên đường tao đi làm cũng có 2 con mỗi lần chay tới là nó vương cổ ra như kiểu muốn hút tao trong khi tao không làm gì nó cứ mỗi lần chạy tới là tao cách_ly cả nghìn mét với nó thấy nó sợ bỏ_mẹ đúng chất con ngang
đội nào cũng xứng đáng hơi tiếc cho per,Other,đội nào cũng xứng_đáng hơi tiếc cho per
:))) có thật nhiều tiền là vui,Enjoyment,icon_vui có thật nhiều tiền là vui
"anw , vote cho anh vũ",Enjoyment,anw vote cho anh_vũ
ý là giọng quê tao đó hã,Enjoyment,ý là giọng quê tao đó hã
tao thì ngược lại .. cắt xong nhìn như thằng trốn trại vậy,Sadness,tao thì ngược_lại cắt xong nhìn như thằng trốn trại_vậy
chúc mừng cp . cố lên cp .,Enjoyment,chúc_mừng cp cố lên cp
đáng tiếc đời không như là mơ . thực tế sẽ vả vào mặt cho mày tỉnh ra :(,Sadness,đáng tiếc đời không như là mơ thực_tế sẽ vả vào mặt cho mày tỉnh ra icon_buon
con cháu việt nam nhục nhã vãi,Disgust,con_cháu việt nam nhục_nhã vãi
những người thả phẫn nộ xứng đáng là thiên thần . dăm ba cái yêu đương vớ vẩn . ahuhuhu,Sadness,những người thả phẫn_nộ xứng_đáng là thiên_thần dăm_ba cái yêu_đương vớ_vẩn ahuhuhu
cíu tao khỏi hai tên đồng nghiệp bị crazy huhu,Fear,cíu tao khỏi hai tên đồng_nghiệp bị crazy huhu
"thứ kém sang ngồi ăn ngay cạnh tao , có biết tao đang giảm cân không",Disgust,thứ kém sang ngồi ăn ngay cạnh tao có biết tao đang giảm cân không
"điều đó không quan trọng , quan trọng là đéo xác nhận lời mời kết bạn",Sadness,điều đó không quan_trọng quan_trọng là đéo xác_nhận_lời mời kết_bạn
rớt vô đây chắc chắc khóc tiếng thái lan,Fear,rớt vô đây chắc chắc khóc tiếng thái_lan
vì có mối ngon hơn chứ saoooo :(,Disgust,vì có mối ngon hơn chứ sao icon_buon
per đó đi chơi nhiều dô hỏi sao da đen -.-,Other,per đó đi chơi nhiều dô hỏi sao da đen
t quá mệt mỏi với cuộc sống này rồi 😓,Sadness,tao quá mệt_mỏi với cuộc_sống này rồi
"anh luôn nghĩ thế giới này không có gì đáng sợ , cho đến khi anh không còn thấy em nữa",Sadness,anh luôn nghĩ thế_giới này không có gì đáng sợ cho đến khi anh không còn thấy em nữa
thế theo mấy bác lớp 5 thì viết chữ như thế nào ạ,Other,thế theo mấy bác lớp 5 thì viết chữ như thế_nào ạ
rồi mấy đứa chân ngắn đi chắc dập người hết . bay qua sao nổi =)))),Fear,rồi mấy đứa chân ngắn đi chắc dập người hết bay qua sao nổi
"đi viện mà tưng tưng ăn uống được là tốt rồi , mừng mày sớm ra viện nhé cô",Enjoyment,đi viện mà tưng_tưng ăn_uống được là tốt rồi mừng mày sớm ra viện nhé cô
mấy chị làm chung rất ư là dễ thương luôn,Enjoyment,mấy chị làm chung rất ư là dễ_thương luôn
em nó đây nha các bác . kkkkk :))))),Enjoyment,em nó đây nha các bác k icon_vui
gớm . vi khuẩn vi rút vi trùng vi lung tung beng nấp hết trong đó nhìn nổi da gà .,Disgust,gớm vi_khuẩn vi rút vi_trùng vi lung_tung_beng nấp hết trong đó nhìn nổi da_gà
xây làm tưởng xây cái chỗ ỉa chứ,Disgust,xây làm tưởng xây cái chỗ ỉa chứ
không hiểu tại sao bản thân có thể chịu đựng được,Surprise,không hiểu tại_sao bản_thân có_thể chịu_đựng được
ghê quá đi,Fear,ghê quá đi
đem con bọn mày đến đây tao cho ăn cơm mốc rồi cảnh cáo tao rút kinh nghiệm thôi nha,Anger,đem con bọn mày đến đây tao cho ăn cơm mốc rồi cảnh_cáo tao rút kinh_nghiệm thôi nha
tao không tin đâu hiccc =(((,Sadness,tao không tin đâu hic
tao cũng hao mòn nhan sắc như này,Sadness,tao cũng hao_mòn nhan_sắc như này
thằng nhỏ mạnh vãi,Enjoyment,thằng nhỏ mạnh vãi
lại là bài nhạc huyền thoại trong xe hơi :3,Other,lại là bài nhạc huyền_thoại trong xe_hơi 3
mình thì # mình chỉ mong chồng tốt thương yêu vợ con gia đình ! gia đình lúc nào cũng vui vẻ hạnh phúc thì ngày nào cũng là ngày ( tình yêu ),Enjoyment,mình thì mình chỉ mong chồng tốt thương_yêu vợ_con gia_đình gia_đình lúc_nào cũng vui_vẻ hạnh_phúc thì ngày nào cũng là ngày tình_yêu
kiểu lâu lâu cũng không được nhắn tin cho ai như thế nên cũng muốn tình cảm xíu =)))) biết đâu,Enjoyment,kiểu lâu_lâu cũng không được nhắn_tin cho ai như thế nên cũng muốn tình_cảm_xíu biết_đâu
nó quan tâm mày là lúc nó cô đơn quá và mày vô tình đi ngang đời nó thôi,Disgust,nó quan_tâm mày là lúc nó cô_đơn quá và mày vô_tình đi ngang đời nó thôi
per nhớ ghê á nha 😂,Enjoyment,per nhớ ghê_á nha_icon_vui
nơi ấy giữ lại những kí ức tuyệt vời,Enjoyment,nơi ấy giữ lại những kí_ức tuyệt_vời
mày xây luôn đi chắn biển cho tao . xây xomg muốn viết lồn gì thì viết,Anger,mày xây luôn đi chắn biển cho tao xây xomg muốn viết lồn gì thì viết
vậy mà trên đời có 1 loại cha vứt bỏ con mình .,Disgust,vậy_mà trên đời có 1 loại cha vứt bỏ con mình
chia buồn cùng nước pháp,Sadness,chia buồn cùng nước pháp
ma thì làm sao đáng sợ bằng vợ hả người anh em thiện lành ??????,Disgust,ma thì làm_sao đáng sợ bằng vợ hả người anh_em thiện lành
quá tuyệt vời rồi các chàng traiiii,Enjoyment,quá tuyệt_vời rồi các chàng trai
ngây thơ vãi =)),Disgust,ngây_thơ vãi
t chỉ có 1 năm thôi cũng phát ngán lên được . đúng là không đi làm ở nhà mang danh kẻ ăn bám,Disgust,tao chỉ có 1 năm thôi cũng phát ngán lên được đúng là không đi làm ở nhà mang danh kẻ ăn_bám
đoạn cuối hình như nó khóc,Sadness,đoạn cuối hình_như nó khóc
đừng bao giờ chơi trò giận dỗi với lũ con gái :)),Other,đừng bao_giờ chơi trò giận_dỗi với lũ con_gái icon_vui
"per như một cú tát vào mặt , đau lòng quá đi",Sadness,per như một cú tát vào mặt đau_lòng quá đi
địt mẹ vừa đi ép lại kính xong giờ tan con mẹ nó cái kính rồi 200k của bà mày đấyyyyy !!!!!,Sadness,địt_mẹ vừa đi ép lại kính xong giờ tan con_mẹ nó cái kính rồi 200k của bà mày đấy
"trừ khi đường có biển cấm dừng đỗ thì mới không được đỗ , còn có phải phố nào cũng kẻ ô cho ô tô đỗ đâu",Other,trừ khi đường có biển cấm dừng đỗ thì mới không được đỗ còn có phải phố nào cũng kẻ ô cho ô_tô đỗ đâu
dume mệt mỏi thật sự,Anger,dume mệt_mỏi thật_sự
cũng có nơi gia đình khá giả mới có nó !,Enjoyment,cũng có nơi gia_đình khá_giả mới có nó
bởi đi mua cái gì cũng phải chọn chỗ uy tín,Other,bởi đi mua cái gì cũng phải chọn chỗ uy_tín
"chơi game :v cấp 2 trộm tiền bố mẹ đốt gần 10tr vào game , cuối áy náy không chơi nữa nên ngồi bán nick được khoảng 2tr cũng gọi là thu nhập đầu tiên :v",Enjoyment,chơi game v cấp 2 trộm tiền bố_mẹ đốt gần 10tr vào game cuối áy_náy không chơi nữa nên ngồi bán nick được khoảng 2tr cũng gọi là thu_nhập đầu_tiên v
per bây giờ thì không nói nhưng mà cảm giác phủ nhận vai trò bà thảo ngày xưa . vl không chị đọc thấy viết khập khiễng quá :))),Disgust,per bây_giờ thì không nói nhưng mà cảm_giác phủ_nhận vai_trò bà thảo ngày_xưa rất không chị đọc thấy viết khập_khiễng quá icon_vui
tôi đang ngủ mà ai cứ ăn chóp chép kế bên khó chịu thật !!!,Disgust,tôi đang ngủ mà ai cứ ăn chóp_chép kế bên khó_chịu thật
sao đi cắt tóc mà mắt nó từ đen sang xanh luôn vậy ?,Surprise,sao đi cắt tóc mà mắt nó từ đen sang xanh luôn vậy
"ở mình bà đéo ông đéo nào cũng muốn dậy đưa giỏi , đứa ngu hay nghịch tý là ông bà ý làm ầm lên .",Anger,ở mình bà đéo ông đéo nào cũng muốn dậy đưa giỏi đứa ngu hay nghịch tý là ông_bà ý làm ầm lên
đã biết là thế nhưng không còn cách nào khác :(,Sadness,đã biết là thế nhưng không còn cách nào khác icon_buon
đống góp ý kiến gì mà tằm với tàu không hà,Disgust,đống góp_ý_kiến gì mà tằm với tàu không hà
mua con lợn 5 chục lì xì được có 40 nghìn mất thời gian tốn cả tiền bạc 😂,Sadness,mua con lợn 5 chục lì_xì được có 40 nghìn mất thời_gian tốn cả tiền_bạc icon_vui
"nhớ lại ngày đó , làm pg bán giấy , cười suốt ngày , khách chửi cũng cười , mà nhớ thời đó ghê , mới 1 , 2 năm chứ mấy",Enjoyment,nhớ lại ngày đó làm pg bán giấy cười suốt ngày khách chửi cũng cười mà nhớ thời đó ghê mới 1 2 năm chứ mấy
người ta đá hay bảo ăn đòn thằng admin ngu lol,Disgust,người_ta đá hay bảo ăn đòn thằng admin ngu lol
8h sáng mấy bạn đi ngủ chưa ? sống theo giờ sao hoả hả má,Other,8h sáng mấy bạn đi ngủ chưa sống theo giờ sao hoả hả má
chỉ tại tôi không nói nên không còn cơ hội,Sadness,chỉ tại tôi không nói nên không còn cơ_hội
cái mặt xinh quá,Enjoyment,cái mặt xinh quá
"đang tính đi nhổ răng khôn ( à quên , nó ngu chứ khôn đéo gì ..) nghe được cảnh báo này chắc không dám đi nhổ luôn .",Fear,đang tính đi nhổ răng_khôn à quên nó ngu chứ khôn đéo gì nghe được cảnh_báo này chắc không dám đi nhổ luôn
nắng cũng đã sắp tàn sao mà chả thấy em đâu ...,Sadness,nắng cũng đã sắp tàn sao mà chả thấy em đâu
ai mua thì bán không mua thì thâu 😂,Other,ai mua thì bán không mua thì thâu_icon_vui
per đã nhẫn nhịn lắm ... đến khi con sen tao cứu tao thì tao đách có sợ đâu nhaaaaaaaa 😂😂😂,Enjoyment,per đã nhẫn_nhịn lắm đến khi con sen tao cứu tao thì tao đách có sợ đâu nha icon_vui icon_vui icon_vui
"chời ơi , bé gái cưng muốn xỉu . bạn nữ nào kết hợp sx em bé hơm ?????????????? :))))",Enjoyment,chời ơi bé gái cưng muốn xỉu bạn nữ nào kết_hợp sx em bé hơm icon_vui
bài học rút ra là học cách buông bỏ những thứ không thuộc về mình,Enjoyment,bài_học rút ra là học cách buông bỏ những thứ không thuộc về mình
per cách gì thì kệ mẹ tao,Anger,per cách gì thì kệ mẹ tao
"công nhận ổng nói tiếng việt giỏi ghê lun ,",Surprise,công_nhận ổng nói tiếng việt giỏi ghê lun
per đừng hỏi tao nữa,Other,per đừng hỏi tao nữa
được bác ạ !! cứ lấy vợ giàu là được tuốt =))),Enjoyment,được bác ạ cứ lấy vợ giàu là được tuốt
cuộc sống mà =)),Enjoyment,cuộc_sống mà
page rẻ rách đĩ mẹ tao bỏ theo dõi súc sinh cận bả xã hội dcm 18 đời nhà mày :),Anger,page rẻ rách đĩ mẹ tao bỏ theo_dõi súc_sinh cận bả xã_hội chửi_thề 18 đời nhà mày icon_vui
bếp dầu chủ cái gì nữa,Other,bếp dầu chủ cái gì nữa
per mở mắt ra đọc đi ! tao như này tất cả là do mày đấy chó ạ !,Anger,per mở_mắt ra đọc đi tao như này tất_cả là do mày đấy chó ạ
mợ không gọi công an phường đến cẩu đi .,Anger,mợ không gọi công_an phường đến cẩu đi
ngã sấp mặt lồn là có thật,Surprise,ngã sấp_mặt lồn là có thật
do mày để gián ngay cửa nó không dám vào nên khóc thôi,Other,do mày để gián ngay cửa nó không dám vào nên khóc thôi
đồ phá hoại,Disgust,đồ phá_hoại
per xem câu chuyện hư cấu này giết thời gian này 👏,Other,per xem câu_chuyện hư_cấu này giết thời_gian này
buồn hơn khi tôi còn là gái 🙄,Sadness,buồn hơn khi tôi còn là gái icon_chankhet
phim như shits ức chế như lien quan trẻ trâu,Disgust,phim như shits ức_chế như lien quan trẻ trâu
per bữa cuối nó ngồi chỗ đó nhìn mà khóc còn cuối khoá thì bth haha,Enjoyment,per bữa cuối nó ngồi chỗ đó nhìn mà khóc còn cuối khoá thì bth haha
dume cười vãi luôn trời :)))),Enjoyment,dume cười vãi luôn trời icon_vui
ở chỗ khác chắc gì có đứa béo như mình !,Enjoyment,ở chỗ khác chắc gì có đứa béo như mình
per đừng ảo tưởng nhé,Disgust,per đừng ảo_tưởng nhé
thật sự đọc xong thấy hơi rưng rưng,Sadness,thật_sự đọc xong thấy hơi rưng_rưng
bọn mấy bà thì quyền lực vãi rồi,Other,bọn mấy bà thì quyền_lực vãi rồi
"sướng nhờ , bên trung chúng nó yêu nhau toàn sống chung . 😂😂😂 toàn richkid :>",Enjoyment,sướng nhờ bên trung chúng_nó yêu nhau toàn sống chung icon_vui icon_vui icon_vui toàn richkid
đứng dưới cây này chỉ sợ ngột vì mùi hoa sữa 😂😂😂,Fear,đứng dưới cây này chỉ sợ ngột vì mùi hoa sữa icon_vui icon_vui icon_vui
ngôn ngữ gì ngộ nghĩnh vậy,Surprise,ngôn_ngữ gì ngộ_nghĩnh_vậy
ở free được lun hả 😮,Surprise,ở free được lun hả
có ai thấy giống người đẹp 9p không ?,Other,có ai thấy giống người đẹp 9p không
em ghét nhất loại này . dính vào điểm mù của xe to thì ăn cức cụ ạ .,Disgust,em ghét nhất loại này dính vào điểm_mù của xe to thì ăn cức cụ ạ
"buồn cho những ai thờ ơ , vô cảm trước một sự việc như thế .",Sadness,buồn cho những ai thờ_ơ vô_cảm trước một sự_việc như thế
"aaaaa con nhện 😨 "" aaaaaaa con ế !"" - nhện said 😂😂😂",Enjoyment,a con nhện icon_loso a con ế nhện said icon_vui icon_vui icon_vui
"hahaa , đợi em ngủ chút tí ròii buôn :))",Enjoyment,hahaa đợi em ngủ chút tí ròii buôn icon_vui
móe mình chưa gặp cảnh này chỉ có dọn bánh kem bọn ném nhau dính lên mọi thứ hòa với bãi nôn thôi 😱😱😱,Disgust,móe mình chưa gặp cảnh này chỉ có dọn bánh kem bọn ném nhau dính lên mọi thứ hòa với bãi nôn thôi icon_loso icon_loso icon_loso
nhớ con gái tao quá :((((,Sadness,nhớ con_gái tao quá icon_buon
minh tu nguyen thuận phạm quan trọng đồng nghiệp có hợp phong thuỷ với mình hay không hâhhah,Enjoyment,minh tu nguyen_thuận phạm quan_trọng đồng_nghiệp có hợp phong_thuỷ với mình hay không hâhhah
tuổi thơ cũng từng trải qua nhiều lời cay nghiệt hơn vậy .. nên c hiểu được cảm giác của em ..,Sadness,tuổi_thơ cũng từng trải qua nhiều lời cay_nghiệt hơn vậy nên c hiểu được cảm_giác của em
sợ vãi tè ăn độc 2 quả mọc luôn 2 cái nhọt ở mông đíu hỉu,Fear,sợ vãi tè ăn độc 2 quả mọc luôn 2 cái nhọt ở mông đíu hỉu
"per một thời mình ở bên nhau 😘😘😘😘, nhớ ghê",Enjoyment,per một thời mình ở bên nhau icon_vui icon_vui icon_vui icon_vui nhớ ghê
chỉ vì tin “ nó không cắn đâu ” mà tao đã bị “ nó ” cắn 2 lần rồi . dume,Anger,chỉ vì tin nó không cắn đâu mà tao đã bị nó cắn 2 lần rồi dume
hi vọng hòa bình ở triều tiên sẽ không còn xa nữa . goodbye ! # per,Sadness,hi_vọng hòa bình ở triều_tiên sẽ không còn xa nữa goodbye per
"cái đáng nói là chủ không có thương , dòm em husky này ốm nhom , mắt lờ đờ thấy tội lắm",Sadness,cái đáng nói là chủ không có thương dòm em husky này ốm_nhom mắt lờ_đờ thấy tội lắm
thằng nào chưa bước vào quán bar hay karaoke giống tao không 😂 trai ngoan điểm danh 😄,Enjoyment,thằng nào chưa bước vào quán bar hay karaoke giống tao không icon_vui trai ngoan điểm_danh
