Sentence,Emotion,Cleaned_Sentence,Predicted_Emotion,Is_Correct
"lỗi tại cái cây hay lỗi tại anh , tại anh nặng quá nên cây ....",Disgust,lỗi tại cái cây hay lỗi tại anh tại anh nặng quá nên cây,Other,False
ôi trời nguy hiểm thế,Fear,ôi trời nguy_hiểm_thế,Disgust,False
tội cho mấy thằng đang xoay tiền mua bánh trung thu cho vợ thằng khác ăn,Sadness,tội cho mấy thằng đang xoay tiền mua bánh trung_thu cho vợ thằng khác ăn,Disgust,False
mấy thằng ở ngoài bình luận gặp tao tao xé mỏ từng đứa . cha mẹ đéo dạy để xã hội dạy nhé . còn phèn lắm,Anger,mấy thằng ở ngoài bình_luận gặp tao tao xé mỏ từng đứa cha_mẹ đéo dạy để xã_hội dạy nhé còn phèn lắm,Disgust,False
"thôi xong 1 chiếc ôto . chắc tối nay ăn không ngon , nhậu không yên rồi .",Sadness,thôi xong 1 chiếc ôto chắc tối nay ăn_không ngon nhậu không yên rồi,Enjoyment,False
em ấy còn viết đẹp hơn mình luôn á,Surprise,em ấy còn viết đẹp hơn mình luôn á,Enjoyment,False
béo quá không ai yêu thì về đây em nuôi nè,Other,béo quá không ai yêu thì về đây em nuôi nè,Enjoyment,False
đ biết tình yêu là gì mà ăn rồi cứ đi thả thính đậu má,Disgust,đ biết tình_yêu là gì mà ăn rồi cứ đi thả thính đậu má,Other,False
per móc lên tới não :)),Fear,per móc lên tới não icon_vui,Enjoyment,False
bị bắt nạt im re hà hiền khô luôn thấy tội nghiệp ai dè tới chừng ...... ha ha ha,Enjoyment,bị bắt_nạt im_re hà hiền_khô luôn thấy tội_nghiệp ai dè tới chừng ha_ha_ha,Sadness,False
"con bố mẹ nào không dạy được để xã hội dạy cho , bố mẹ bất hợp tác để làng xóm hợp tác",Disgust,con bố_mẹ nào không dạy được để xã_hội dạy cho bố_mẹ bất_hợp_tác để làng_xóm hợp_tác,Anger,False
tiền mất tật mang . xe đã nát rồi giờ còn phải đền cách cửa cho tàu nửa,Sadness,tiền mất tật mang xe đã nát rồi giờ còn phải đền cách cửa cho tàu_nửa,Disgust,False
per mắc dại quá mà,Disgust,per mắc dại quá mà,Enjoyment,False
các em thật là vãi,Disgust,các em thật là vãi,Enjoyment,False
per vẽ ổ điện bá vãi em ạ 😂,Surprise,per vẽ ổ điện bá vãi em ạ icon_vui,Enjoyment,False
thế không đạt được gì à,Surprise,thế không đạt được gì à,Other,False
cuộc sống tạo ta áp lực ..,Fear,cuộc_sống tạo ta áp_lực,Enjoyment,False
tư tưởng đột phá đấy chứ,Surprise,tư_tưởng đột_phá đấy chứ,Disgust,False
đối với tình yêu thì thời gian có tác dụng xây đắp chứ không còn là phá huỷ mọi thứ nữa . ngưỡng mộ hai ông bà ❤️❤️❤️,Enjoyment,đối_với tình_yêu thì thời_gian có tác_dụng xây_đắp chứ không còn là phá_huỷ mọi thứ nữa ngưỡng_mộ hai ông_bà,Disgust,False
"thời đi học tao còn bị bạt tai với bắt quỳ trên bục giảng luôn , tội phá , như này thấm gì đâu :3 phụ huynh ngày nay cứ làm quá lên",Disgust,thời đi học tao còn bị bạt_tai với bắt quỳ trên bục giảng luôn tội phá như này thấm gì đâu 3 phụ_huynh ngày_nay cứ làm quá lên,Sadness,False
trẻ trâu việt nam thật đáng sợ,Fear,trẻ trâu việt nam thật đáng sợ,Disgust,False
mày bị ngu hả đĩ chó :) hết chỗ viết à :) thích viết thì tìm chỗ nào đéo trôi á :) hoặc mua giấy về viết chứ địt mẹ viết rồi lại viết làm tao buồn mày :),Anger,mày bị ngu hả đĩ chó icon_vui hết chỗ viết à icon_vui thích viết thì tìm chỗ nào đéo trôi á icon_vui hoặc mua giấy về viết chứ địt_mẹ viết rồi lại viết làm tao buồn mày icon_vui,Disgust,False
khang khang 1 thời cùng nhau vui say ! bjo thì khác rồi thân ai nấy lo hở chị hố hố ;)),Enjoyment,khang khang 1 thời cùng nhau vui say bjo thì khác rồi thân ai_nấy lo hở chị hố hố,Disgust,False
phát hiện nghi vấn đổ vỏ :)),Other,phát_hiện nghi_vấn đổ vỏ icon_vui,Enjoyment,False
tuổi thơ bất hạnh .. học mẫu giáo mà cạnh trường học là 1 bầy ngỗng . sáng nào tao cũng được chạy bộ tập thể dục nhờ bọn nó,Sadness,tuổi_thơ bất_hạnh học mẫu_giáo mà cạnh trường_học là 1 bầy ngỗng sáng nào tao cũng được chạy bộ tập_thể_dục nhờ bọn nó,Disgust,False
ai làm được cây cầu khó đi này tài quá,Surprise,ai làm được cây cầu khó đi này tài quá,Enjoyment,False
xàm bà cố luôn ??????,Disgust,xàm bà cố luôn,Enjoyment,False
per lần sau hãy hưởng ứng câu chuyện của tao như này này,Other,per lần sau hãy hưởng_ứng câu_chuyện của tao như này này,Sadness,False
các cháu giờ lợi hại quá :<,Enjoyment,các cháu giờ lợi_hại quá icon_buon,Sadness,False
bất công,Disgust,bất_công,Other,False
chưa bao giờ nghe ngươ ̀ i ta chửi thề mà đáng êu đến vậy lun =))!,Enjoyment,chưa bao_giờ nghe ngươ ̀ i ta chửi thề mà đáng êu đến vậy lun,Disgust,False
ghi nguồn vào page ạ :),Other,ghi nguồn vào page ạ icon_vui,Enjoyment,False
mấy đứa thấy mình hiền nó làm tới hà .. quá đáng lắm luôn á !,Anger,mấy đứa thấy mình hiền nó làm_tới hà quá_đáng lắm luôn á,Enjoyment,False
không đấm vào mặt là may rồi :)),Disgust,không đấm vào mặt là may rồi icon_vui,Enjoyment,False
chưa bao giờ bắn trúng thứ gì 😆.,Enjoyment,chưa bao_giờ bắn trúng thứ gì icon_vui,Sadness,False
chuẩn rồi per dù mệt mỏi nhưng vẫn vui :))),Other,chuẩn rồi per dù mệt_mỏi nhưng vẫn vui icon_vui,Enjoyment,False
dell hiểu sao ngày sưa tao có thể cầm nó trưen tay đi câu cá 😳😳😳 nhớ lại vẫn thấy ớn 😂,Fear,dell hiểu sao ngày sưa tao có_thể cầm nó trưen tay đi câu cá icon_ngacnhien icon_ngacnhien icon_ngacnhien nhớ lại vẫn thấy ớn icon_vui,Enjoyment,False
đạp xe xíu rã chân ông này đạp như tay đua xe,Enjoyment,đạp xe xíu rã chân ông này đạp như tay_đua xe,Other,False
ơ thế sai chỗ mẹ nào nữa ??,Surprise,ơ thế sai chỗ mẹ nào nữa,Other,False
"cũng nhờ thầy khắt khe uốn nén bỏ thói hư tật xấu , bây giờ mỗi lần họp lớp đều nhắc tới thầy và vô cùng kính trọng",Enjoyment,cũng nhờ thầy khắt_khe uốn nén bỏ thói hư tật xấu bây_giờ mỗi lần họp lớp đều nhắc tới thầy và vô_cùng kính_trọng,Disgust,False
có đứa nào vừa coi vừa nuốt nước miếng như tao không ?,Enjoyment,có đứa nào vừa coi vừa nuốt nước_miếng như tao không,Other,False
tư duy của họ hơn hẳn 1 cái đầu 👍,Enjoyment,tư_duy của họ hơn hẳn 1 cái đầu,Other,False
bà mẹ nó giật mình,Fear,bà mẹ nó giật_mình,Other,False
chỉ có bọn óc chó . đú đởn mới phàn nàn .,Other,chỉ có bọn óc chó đú_đởn mới phàn_nàn,Disgust,False
chưa 1 lần vấn vương thời c3 =)),Other,chưa 1 lần vấn_vương thời c3,Sadness,False
"em đỗ 6 trường đại học ở mỹ , còn hàng trăm thằng đổ em luôn rồi đó , em biết không . trong đó có anh 🤪",Enjoyment,em đỗ 6 trường đại_học ở mỹ còn hàng trăm thằng đổ em luôn rồi đó em biết không trong đó có anh,Other,False
nghe cái lời rõ đéo hỉu và cái tên cũg không liên quan,Disgust,nghe cái lời rõ đéo hỉu và cái tên cũg không liên_quan,Anger,False
giỡn ngu kiểu đó người ta bị tim giật mình chết rồi sao . giỡn với mình kiểu đó mình đánh cho vỡ mồm luôn,Anger,giỡn ngu kiểu đó người_ta bị tim giật_mình chết rồi sao giỡn với mình kiểu đó mình đánh cho vỡ mồm luôn,Disgust,False
kiên nhẫn với 1 con chó chứ chắc gì đã kiên nhẫn với bố mẹ hay người thân bên cạnh mình .,Disgust,kiên_nhẫn với 1 con chó chứ chắc gì đã kiên_nhẫn với bố_mẹ hay người_thân bên cạnh mình,Anger,False
cứ tưởng là người yêu =)),Enjoyment,cứ tưởng là người_yêu,Other,False
làm ơn đi .. đừng bám theo tao nua được không,Anger,làm_ơn đi đừng bám theo tao nua được không,Other,False
thằng đoạn cuối mặc áo hồng đang định gải đít nhưng vì thấy rắn nên anh ấy đã hết ngứa,Enjoyment,thằng đoạn cuối mặc áo hồng đang định gải đít nhưng vì thấy rắn nên anh ấy đã hết ngứa,Sadness,False
tuổi thơ thật đáng yêu . chỉ có người lớn dẫn sai đường các em thôi,Other,tuổi_thơ thật đáng yêu chỉ có người_lớn dẫn sai đường các em thôi,Enjoyment,False
"công khai và phạt thật nặng : đuổi học , cấm thi 10 năm",Anger,công_khai và phạt thật nặng đuổi học cấm thi 10 năm,Disgust,False
đầu độc trẻ em mà sử như vậy là nhẹ quá chuyển công tác ra khỏi nghành,Disgust,đầu_độc trẻ_em mà sử như_vậy là nhẹ quá chuyển công_tác ra khỏi nghành,Enjoyment,False
mày xinh thế ? tao ốm tí đã xấu hoắc,Sadness,mày xinh thế tao ốm tí đã xấu hoắc,Enjoyment,False
xịt nước là ướt rồi,Other,xịt nước là ướt rồi,Sadness,False
mới ngày nào bidv còn đứng nhất mà .. haizzz,Sadness,mới ngày nào bidv còn đứng nhất mà haiz,Enjoyment,False
chỉ là bạn chưa biết yêu đúng cách thoiii,Other,chỉ là bạn chưa biết yêu đúng cách thoi,Enjoyment,False
cái ảnh giống hệt mình :)),Other,cái ảnh giống_hệt mình icon_vui,Enjoyment,False
"thời gian thấm nhuần yêu thương , nếu đủ kiên nhẫn thì hạnh phúc sẽ đến bên , không sợ sệt 😁",Other,thời_gian thấm_nhuần yêu_thương nếu đủ kiên_nhẫn thì hạnh_phúc sẽ đến bên không sợ_sệt icon_vui,Enjoyment,False
"nhìn một cái rồi thôi , chuyện của những năm trước",Sadness,nhìn một cái rồi thôi chuyện của những năm trước,Other,False
bạn trai người khác không bao giờ làm tao thất vọng =))))),Enjoyment,bạn trai người khác không bao_giờ làm tao thất_vọng,Sadness,False
mình rất rất muốn đi nhưng trong túi kô còn xu mẹ nào vân kiều ơi,Sadness,mình rất rất muốn đi nhưng trong túi kô còn xu mẹ nào vân kiều ơi,Enjoyment,False
khi bạn muốn lầy và cũng có người lầy cùng bạn =)),Enjoyment,khi bạn muốn lầy và cũng có người lầy cùng bạn,Other,False
"mai tao ăn gà , chụp hình bình luận lại cho mày thèm chơi ??",Enjoyment,mai tao ăn gà chụp hình bình_luận lại cho mày thèm chơi,Other,False
"tao vừa về xong thề là ở mẹ nhà ngủ còn sướng hơn đông đéo thể nhích nổi , toàn ngắm người ??",Disgust,tao vừa về xong thề là ở mẹ nhà ngủ còn sướng hơn đông đéo_thể nhích nổi toàn ngắm người,Enjoyment,False
rụng cả răng khi xem không nhặt được mồm kkk,Enjoyment,rụng cả răng khi xem không nhặt được mồm k,Sadness,False
những video như này chỉ khiến cho các cô gái càng thêm ảo tưởng về tình yêu thôi =))) # ngưngảotưởng,Other,những video như này chỉ khiến cho các cô gái càng thêm ảo_tưởng về tình_yêu thôi ngưngảotưởng,Disgust,False
tình yêu cha mẹ dành cho con cái là vô điều kiện . mình đã khóc,Sadness,tình_yêu cha_mẹ dành cho con_cái là vô điều_kiện mình đã khóc,Enjoyment,False
"per mai cấm chọc tao cười nhé dume , tao mà không pass probation là do mày đấy =))",Other,per mai cấm chọc tao cười nhé dume tao mà không pass probation là do mày đấy,Enjoyment,False
trong phim này thấy cái thằng anh hùng đạp xa đạp phế vkl,Disgust,trong phim này thấy cái thằng anh_hùng đạp xa đạp phế rất,Enjoyment,False
tao tát cho bây giờ đấy,Anger,tao tát cho bây_giờ đấy,Sadness,False
điều tồi tệ nhất là kiểm tra code trên giấy .,Sadness,điều tồi_tệ nhất_là kiểm_tra code trên giấy,Enjoyment,False
t được theo mẹ ra đây những 3 lần :v . uống no nước biển đs . phải công nhận nói chuyện biển đục vãi 🙄,Disgust,tao được theo mẹ ra đây những 3 lần v uống no nước biển đs phải công_nhận nói_chuyện biển đục vãi icon_chankhet,Enjoyment,False
đm mùi thế :))),Disgust,chửi_thề mùi thế icon_vui,Enjoyment,False
mày tưởng ai cũng khùng giống mày hả lo xo dau,Disgust,mày tưởng ai cũng khùng giống mày hả lo xo dau,Other,False
họ không cho ta là vì họ không có gì hihiiii,Enjoyment,họ không cho ta là vì họ không có gì hihi,Disgust,False
14 / 2 năm sau tau sẽ là ông già cô đơn ....,Sadness,14 2 năm sau tau sẽ là ông_già cô_đơn,Other,False
gì thế này ? này là kiến thức đó hả ?,Surprise,gì thế này này là kiến_thức đó hả,Other,False
"per bảo nó nói chuyện đi nhưng không , chỉ nhìn thôi",Other,per bảo nó nói_chuyện đi nhưng không chỉ nhìn thôi,Disgust,False
"per giờ đi ra chỗ ăn phở cũng khó , đi bộ cũng chả chen được ??",Other,per giờ đi ra chỗ ăn phở cũng khó đi bộ cũng chả chen được,Enjoyment,False
mấy thèn cức rảnh,Disgust,mấy thèn cức rảnh,Other,False
"video mờ thế còn xác minh được , thế còn lão per đến giờ vẫn im lặng là sao ? 🙂",Surprise,video mờ thế còn xác_minh được thế còn lão per đến giờ vẫn im_lặng là sao icon_vui,Enjoyment,False
"lúc nhỏ mẹ nấu cơm bằng bếp củi , ttao thì không biết gì thấy lửa tắt thì chụm vô : )) mẹ ra quánh cho trận vì nồi cơm khét nghẹt 😑",Sadness,lúc nhỏ mẹ nấu cơm bằng bếp củi ttao thì không biết gì thấy lửa tắt thì chụm vô mẹ ra quánh cho trận vì nồi cơm khét nghẹt,Disgust,False
tao thấy tai nạn giao thông là tao nói với mẹ .. con chạy ra đó để tối lên ti vi ... mẹ tao chửi sấp mặt luôn,Sadness,tao thấy tai_nạn giao_thông là tao nói với mẹ con_chạy ra đó để tối lên ti_vi mẹ tao chửi sấp_mặt luôn,Anger,False
"cười đấy , sau lưng nó đâm con mẹ nó dao vô hình cho chết mà vẫn sống nhăn răng luôn .",Fear,cười đấy sau lưng nó đâm con_mẹ nó dao vô_hình cho chết mà vẫn sống_nhăn_răng luôn,Anger,False
"toan cao lại nữa , tao dg suy nghĩ có nên đi bằng grap về không",Other,toan cao lại nữa tao dg suy_nghĩ có nên đi bằng grap về không,Sadness,False
bày đặt viết trên cát khắc luôn vào đá cho tạt thoải mái,Enjoyment,bày_đặt viết trên cát khắc luôn vào đá cho tạt thoải_mái,Disgust,False
"cảm thấy thay được thì thay , giáo viên bây giờ thừa nhiều mà",Anger,cảm_thấy thay được thì thay giáo_viên bây_giờ thừa nhiều mà,Other,False
mèo nhà tao cũng từng đi lạc vì bị chó rượt tưởng mất rồi . sau mấy tháng thấy nó trở về nhà mừng vãi 😁,Enjoyment,mèo nhà tao cũng từng đi lạc vì bị chó rượt tưởng mất rồi sau mấy tháng thấy nó trở về nhà mừng vãi icon_vui,Disgust,False
"anh sau đó , không còn là anh nữa ...",Sadness,anh sau đó không còn là anh nữa,Other,False
cố gắng chứ từ bỏ con cặc gì,Disgust,cố_gắng chứ từ_bỏ con cặc gì,Anger,False
ký ức 1 thời . nhớ,Enjoyment,ký_ức 1 thời nhớ,Other,False
gia tộc bất hạnh :vậy,Disgust,gia_tộc bất_hạnh vậy,Sadness,False
nhìn muốn tè ra quần rồi,Fear,nhìn muốn tè ra quần rồi,Enjoyment,False
tao cũng ăn hại nhưng chưa bao giờ ăn hại đến nỗi phí phạm thế,Disgust,tao cũng ăn_hại nhưng chưa bao_giờ ăn_hại đến nỗi phí_phạm_thế,Sadness,False
phần này dù xem lại 100 lần vẫn bật khóc tình cha thật phi thường,Sadness,phần này dù xem_lại 100 lần vẫn bật khóc tình cha thật phi_thường,Enjoyment,False
ăn xong mất hứng đéo nói nữa,Anger,ăn xong mất hứng đéo nói nữa,Sadness,False
per thế đéo nào mình chơi với toàn gái mà tính vẫn giống con trai . _ .,Sadness,per thế đéo nào mình chơi với toàn gái mà tính vẫn giống con_trai _,Disgust,False
mấy thằng mặt địt . chim chưa mọc đủ lông mà lông đã ăn vào tận não chúng mày rồi . đm chúng mày,Anger,mấy thằng mặt địt chim chưa mọc đủ lông mà lông đã ăn vào tận não chúng_mày rồi chửi_thề chúng_mày,Disgust,False
"yep . chính tao . đi vệ sinh thôi cũng phải đảo qua , mà giờ thì người ta sắp đi lấy chồng rồi",Sadness,yep chính tao đi vệ_sinh thôi cũng phải đảo qua mà giờ thì người_ta sắp đi lấy chồng rồi,Disgust,False
còn mình nhìn như thằng ngu,Sadness,còn mình nhìn như thằng ngu,Disgust,False
thay đổi văn hóa tí đi . đường là tài sản chung của mọi người dân . và mọi người dân được phép làm những gì pháp luật không cấm .,Other,thay_đổi văn_hóa tí đi đường là tài_sản chung của mọi người dân và mọi người dân được phép làm những gì pháp_luật không cấm,Disgust,False
hên là đụng nhầm người chứ đụng trúng cái là rụng trứng cả bày cả lũ -)),Enjoyment,hên là đụng nhầm người chứ đụng trúng cái là rụng trứng cả bày cả lũ,Anger,False
khúc mắc cười đoạn nào vậy 😑,Disgust,khúc_mắc cười đoạn nào vậy,Enjoyment,False
1 hình này thấy từ sáng đến giờ trên mấy page rồi 😑😑,Other,1 hình này thấy từ sáng đến giờ trên mấy page rồi,Enjoyment,False
mày ăn xong thì cút luôn dùm nha 🙂,Anger,mày ăn xong thì cút luôn dùm nha_icon_vui,Disgust,False
bạn không có lỗi sinh ra trong nghèo khó nhưng nếu chết trong nghèo khó thì đó là lỗi của bạn,Other,bạn không có lỗi sinh ra trong nghèo_khó nhưng nếu chết trong nghèo_khó thì đó là lỗi của bạn,Disgust,False
phim kinh dị vào cái trời âm u 😒,Fear,phim kinh_dị vào cái trời âm_u_icon_chankhet,Disgust,False
crush đéo bị thịt nhé :d nó cũng ế vãi vì tội chảnh chóa,Anger,crush đéo bị_thịt nhé d nó cũng ế vãi vì tội chảnh chóa,Disgust,False
mình nghĩ đợt này bà per thua rồi . đuối lý lẫn truyền thông yếu,Sadness,mình nghĩ đợt này bà per thua rồi đuối lý lẫn truyền_thông yếu,Other,False
bọn trẻ trung quốc thời nay ăn gì mà cao thế nhỉ,Surprise,bọn trẻ_trung quốc thời nay ăn gì mà cao_thế nhỉ,Disgust,False
"fa lâu năm có biết 14 / 2 hay 15 / 2 là ngày gì đâu , chỉ biết là ngày đi làm về và rất mệt",Sadness,fa lâu năm có biết 14 2 hay 15 2 là ngày gì đâu chỉ biết là ngày đi làm về và rất mệt,Enjoyment,False
kinh quá . đau lắm đây . mà nhìn nổi hết da gà ra .,Disgust,kinh quá đau lắm đây mà nhìn nổi hết da_gà ra,Fear,False
"đừng để râu , móng tay cắt gọn gàng . nếu mà thơm nữa thì 8d chuẩn mẹ rồi",Other,đừng để râu móng tay cắt gọn_gàng nếu mà thơm nữa thì 8d chuẩn mẹ rồi,Disgust,False
"hôm nào đi học về cũng phải đi qa , nhà nuôi lũ này ở đỉnh dốc , đi học về tới chân dốc thôi là nghe lũ quỷ đó đứng đầu dốc đón đường bọn tao rồi . méo đạp xe lên dốc nổi , dắt xe lên dốc mà muốn vứt mẹ cái xe đạp để chạy lấy thân cho rồi :((",Fear,hôm nào đi học về cũng phải đi qa nhà nuôi lũ này ở đỉnh dốc đi học về tới chân dốc thôi là nghe lũ quỷ đó đứng đầu dốc đón đường bọn tao rồi méo đạp xe lên dốc nổi dắt xe lên dốc mà muốn vứt mẹ cái xe_đạp để chạy lấy thân cho rồi icon_buon,Anger,False
"đến cả khi nó nói thích mình , 1 phút sau nó lại nói chỉ trêu . mệt mỏi",Sadness,đến cả khi nó nói thích mình 1 phút sau nó lại nói chỉ trêu mệt_mỏi,Enjoyment,False
chỉ dân đen là khổ thôi . chả trách được họ khi cố gắng đi tìm may mắn ở nơi chùa chiền,Sadness,chỉ dân đen là khổ thôi chả_trách được họ khi cố_gắng đi tìm may_mắn ở nơi chùa_chiền,Other,False
đi xa nó bắt cóc chết mẹ mày :),Disgust,đi xa nó bắt_cóc chết mẹ mày icon_vui,Anger,False
ôi dume bọn súc vật,Disgust,ôi dume bọn súc_vật,Anger,False
cho thằng khác ăn ốc bắt bố đổ vỏ à 🤣,Anger,cho thằng khác ăn ốc bắt bố đổ vỏ à icon_vui,Disgust,False
mỗi lần coi lại sởn gai ốc,Fear,mỗi lần coi lại sởn gai_ốc,Enjoyment,False
sến đụ dễ sợ 😑,Disgust,sến đụ dễ sợ,Fear,False
per chuẩn . gọi công an cho lành . cãi cộ chẳng may sửng cồ lên không kìm được phang vào xe nó lại mệt ??,Disgust,per chuẩn gọi công_an cho lành cãi cộ chẳng may sửng_cồ lên không kìm được phang vào xe nó lại mệt,Enjoyment,False
vl gần nhà,Other,rất gần nhà,Enjoyment,False
cứu em nó với,Sadness,cứu em nó với,Other,False
nhìn rợn vãi,Fear,nhìn rợn vãi,Disgust,False
đúng là ổng có vợ rồi có khác . không cần lấy áo làm tóc nữa mà có hẳn váy để mặc rồi 😂😂😂😂,Surprise,đúng là ổng có vợ rồi có khác không cần lấy áo làm tóc nữa mà có hẳn váy để mặc rồi icon_vui icon_vui icon_vui icon_vui,Enjoyment,False
thằng nào kiểu như này tao cho cạch mặt !!! đéo thích nữa 😂😂,Anger,thằng nào kiểu như này tao cho cạch mặt đéo thích nữa icon_vui icon_vui,Enjoyment,False
giờ cắt bộ móng đi cái tay vẫn cứ bị phế khó mà phục hồi được,Sadness,giờ cắt bộ móng đi cái tay vẫn cứ bị phế khó mà phục_hồi được,Other,False
phim gì z .. thánh nữ nào cho biết cái chủ đề dới !!,Other,phim gì gì thánh nữ nào cho biết cái chủ_đề dới,Disgust,False
còn chặt cả cây ổi của hàng xóm để lấy cái chạc làm súng đấy cứ,Enjoyment,còn chặt cả cây ổi của hàng_xóm để lấy cái chạc làm súng đấy cứ,Disgust,False
chắc là uncrush thôi . bố mẹ thì còng lưng ra làm cho con đi học .,Sadness,chắc là uncrush thôi bố_mẹ thì còng lưng ra làm cho con đi học,Disgust,False
gửi nhầm video mình hát chế cho nó nghe,Other,gửi nhầm video mình hát chế cho nó nghe,Disgust,False
lúc thì cuốc đất è cổ ra không có giun mà câu cá 😒,Sadness,lúc thì cuốc đất è_cổ ra không có giun mà câu cá icon_chankhet,Disgust,False
vợ chồng rồi mà trong sáng như này chỉ có trong phim nhỉ 😂,Surprise,vợ_chồng rồi mà trong_sáng như này chỉ có trong phim nhỉ icon_vui,Enjoyment,False
đôi mắt đằm thắm vãi,Surprise,đôi mắt đằm_thắm vãi,Enjoyment,False
